,Demanda total
"Agricultura, inclusive o apoio à agricultura e a pós-colheita",302321.0
"Pecuária, inclusive o apoio à pecuária",128920.0
Produção florestal; pesca e aquicultura,34101.0
Extração de carvão mineral e de minerais não metálicos,20365.0
"Extração de petróleo e gás, inclusive as atividades de apoio",162130.0
"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",52647.0
"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",16595.0
"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",260369.0
Fabricação e refino de açúcar,35744.0
Outros produtos alimentares,275804.0
Fabricação de bebidas,78218.0
Fabricação de produtos do fumo,15097.0
Fabricação de produtos têxteis,48080.0
Confecção de artefatos do vestuário e acessórios,61921.0
Fabricação de calçados e de artefatos de couro,39389.0
Fabricação de produtos da madeira,26158.0
"Fabricação de celulose, papel e produtos de papel",78606.0
Impressão e reprodução de gravações,18884.0
Refino de petróleo e coquerias,379811.0
Fabricação de biocombustíveis,58770.0
"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",144956.0
"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",72342.0
"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",37244.0
Fabricação de produtos farmoquímicos e farmacêuticos,62174.0
Fabricação de produtos de borracha e de material plástico,97695.0
Fabricação de produtos de minerais não metálicos,87114.0
"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",96342.0
Metalurgia de metais não ferosos e a fundição de metais,54422.0
"Fabricação de produtos de metal, exceto máquinas e equipamentos",94638.0
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",81010.0
Fabricação de máquinas e equipamentos elétricos,74096.0
Fabricação de máquinas e equipamentos mecânicos,122120.0
"Fabricação de automóveis, caminhões e ônibus, exceto peças",140150.0
Fabricação de peças e acessórios para veículos automotores,69285.0
"Fabricação de outros equipamentos de transporte, exceto veículos automotores",51156.0
Fabricação de móveis e de produtos de indústrias diversas,70239.0
"Manutenção, reparação e instalação de máquinas e equipamentos",71163.0
"Energia elétrica, gás natural e outras utilidades",257384.0
"Água, esgoto e gestão de resíduos",64413.0
Construção,644583.0
Comércio por atacado e varejo,1037004.0
Transporte terrestre,319490.0
Transporte aquaviário,23130.0
Transporte aéreo,36885.0
"Armazenamento, atividades auxiliares dos transportes e correio",119763.0
Alojamento,24353.0
Alimentação,225304.0
Edição e edição integrada à impressão,20011.0
"Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",43318.0
Telecomunicações,159298.0
Desenvolvimento de sistemas e outros serviços de informação,126432.0
"Intermediação financeira, seguros e previdência complementar",564015.0
Atividades imobiliárias,596597.0
"Atividades jurídicas, contábeis, consultoria e sedes de empresas",195003.0
"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",117378.0
"Outras atividades profissionais, científicas e técnicas",116610.0
Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,45395.0
Outras atividades administrativas e serviços complementares,208270.0
"Atividades de vigilância, segurança e investigação",39816.0
"Administração pública, defesa e seguridade social",672372.0
Educação pública,288544.0
Educação privada,113271.0
Saúde pública,175278.0
Saúde privada,224955.0
"Atividades artísticas, criativas e de espetáculos",33796.0
Organizações associativas e outros serviços pessoais,152129.0
Serviços domésticos,61996.0
